,Mobile_Name,User_Rating,Mobile_Price,Total_Ratings_Reviews,Spec_Ram_Rom,Spec_Display,Spec_Camera
146,Nokia TA-1010/NOKIA 105,4.2 ★,₹993,"5,758 Ratings & 826 Reviews",4 MB RAM | 4 MB ROM |,1.8 inch Display,800 mAh Battery
147,"Samsung Galaxy J8 (Blue, 64 GB)",4.4 ★,"₹18,990","1,829 Ratings & 293 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,6 inch HD+ Display,16MP + 5MP Dual Rear Camera | 16MP Front Camera
148,"iVooMi iv 505(Me5) (Champagne/ Champagne Gold, 16 GB)",3.5 ★,"₹4,499","5,767 Ratings & 1,451 Reviews",2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,5 inch HD Display,8MP Rear Camera | 5MP Front Camera
149,Karbonn K888 Metal,3.9 ★,"₹1,349",146 Ratings & 27 Reviews,32 MB RAM | 32 MB ROM | Expandable Upto 16 GB,2.8 inch Display,0.3MP Rear Camera
150,"Samsung Galaxy J7 Prime 2 (Black, 32 GB)",4.3 ★,"₹12,990",719 Ratings & 101 Reviews,3 GB RAM | 32 GB ROM |,5.5 inch Full HD Display,13MP Rear Camera | 13MP Front Camera
151,"Coolpad Note 6 (Royal Gold, 64 GB)",3.8 ★,"₹9,774",86 Ratings & 15 Reviews,4 GB RAM | 64 GB ROM |,5.5 inch Display,13MP Rear Camera
152,"Apple iPhone 6s Plus (Silver, 32 GB)",4.5 ★,"₹36,999",454 Ratings & 69 Reviews,32 GB ROM |,5.5 inch Retina HD Display,12MP Rear Camera | 5MP Front Camera
153,"Alcatel 3V (Spectrum Gold, 32 GB)",3.5 ★,"₹9,999",163 Ratings & 86 Reviews,3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,6.0 inch Full HD+ Display,16MP + 5MP Dual Rear Camera | 8MP Front Camera
154,"OPPO F7 (Silver, 64 GB)",4.4 ★,"₹19,990","7,740 Ratings & 1,465 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,6.23 inch FHD+ Display,16MP Rear Camera | 25MP Front Camera
155,"OPPO F7 (Black, 64 GB)",4.4 ★,"₹19,990","7,740 Ratings & 1,465 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,6.23 inch FHD+ Display,16MP Rear Camera | 25MP Front Camera
156,"iVooMi Me3 (Champagne Gold, 16 GB)",3.5 ★,"₹4,999","10,736 Ratings & 2,994 Reviews",2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,5.2 inch HD Display,8MP Rear Camera | 8MP Front Camera
157,"Samsung Galaxy J8 (Gold, 64 GB)",4.4 ★,"₹18,990","1,829 Ratings & 293 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,6 inch HD+ Display,16MP + 5MP Dual Rear Camera | 16MP Front Camera
158,"Smartron t.phone P (Black, 32 GB)",3.9 ★,"₹7,999","9,693 Ratings & 2,766 Reviews",3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,5.2 inch HD Display,13MP Rear Camera | 5MP Front Camera
159,"Smartron t.phone P (Gold, 32 GB)",3.9 ★,"₹7,999","9,693 Ratings & 2,766 Reviews",3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,5.2 inch HD Display,13MP Rear Camera | 5MP Front Camera
